go_id	Evidence	gene_id
GO:0016020	ISO	LOC107382457
GO:0016021	ISO	LOC107382457
GO:0005783	ISO	LOC107382457
GO:0005515	ISO	LOC107382457
GO:0006915	ISO	LOC107382457
GO:0008289	ISO	LOC107382457
GO:0030154	ISO	LOC107382457
GO:0045121	ISO	LOC107382457
GO:0019911	ISO	LOC107382457
GO:0002175	ISO	LOC107382457
GO:0042552	ISO	LOC107382457
GO:0098737	ISO	LOC107382457
GO:1902043	ISO	LOC107382457
GO:0016324	ISO	LOC107382457
GO:0019898	ISO	LOC107382457
GO:0044853	ISO	LOC107382457
GO:0045121	ISO	LOC107382457
GO:0120003	ISO	LOC107382457
GO:0016021	ISO	LOC107382457
GO:0016324	ISO	LOC107382457
GO:0016505	ISO	LOC107382457
GO:0042552	ISO	LOC107382457
GO:0042552	ISO	LOC107382457
GO:0007417	ISO	LOC107382457
GO:0019911	ISO	LOC107382457
GO:0042552	ISO	LOC107382457
GO:0001766	ISO	LOC107382457
GO:0019911	ISO	LOC107382457
GO:0045176	ISO	LOC107382457
GO:0003676	ISO	LOC107380920
GO:0006355	ISO	LOC107380920
GO:0005634	ISO	LOC107380920
GO:0046872	ISO	LOC107380920
GO:0003677	ISO	LOC107380920
GO:0008013	ISO	LOC107395828
GO:0046330	ISO	LOC107395828
GO:0030877	ISO	LOC107395828
GO:0048471	ISO	LOC107395828
GO:0005737	ISO	LOC107395828
GO:0001934	ISO	LOC107395828
GO:0090090	ISO	LOC107395828
GO:0045893	ISO	LOC107395828
GO:0005634	ISO	LOC107395828
GO:0005634	ISO	LOC107395828
GO:0005737	ISO	LOC107395828
GO:0016020	ISO	LOC107395828
GO:0042803	ISO	LOC107395828
GO:0005886	ISO	LOC107395828
GO:0005515	ISO	LOC107395828
GO:0006915	ISO	LOC107395828
GO:0007275	ISO	LOC107395828
GO:0016055	ISO	LOC107395828
GO:0042802	ISO	LOC107395828
GO:0005829	ISO	LOC107395828
GO:0090090	ISO	LOC107395828
GO:0090263	ISO	LOC107395828
GO:0060090	ISO	LOC107395828
GO:0060090	ISO	LOC107395828
GO:0070016	ISO	LOC107395828
GO:0031625	ISO	LOC107395828
GO:0033138	ISO	LOC107395828
GO:0019899	ISO	LOC107395828
GO:0031410	ISO	LOC107395828
GO:0016055	ISO	LOC107395828
GO:0019901	ISO	LOC107395828
GO:0042802	ISO	LOC107395828
GO:1904886	ISO	LOC107395828
